CVE ID,Software,Config,Tag,Target Function,Target File,Vulnerability Type,Sink,Proof Found,Compile Succeeded,Verification Completes,Verification Time,Reachable Line Count,Covered Line Count,Line Coverage %,API Cost,Reported Error Count,Sink Included,Sink Covered,Error Found,Precondition Addressed,CVE Exposed Strict,CVE Exposed Partial,Manual,Exposed,Non-exposure Root Cause,
CVE-2021-3435,zephyr,codexup,exp-codexup-0412,le_ecred_conn_req,subsys/bluetooth/host/l2cap.c,OOB Write,le_ecred_conn_req:1658,TRUE,TRUE,FALSE,,,,,,,,,,,,,,FALSE,Resource exhaustion,
,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2024-4785,zephyr,autoup-s2,exp-0413,ull_conn_update_parameters,subsys/bluetooth/controller/ll_sw/ull_conn.c,Division by zero,ull_conn_update_parameters:2432,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,Not executed because of known crash
CVE-2024-3077,zephyr,autoup-s2,exp-0413,gatt_find_info_rsp,subsys/bluetooth/host/gatt.c,OOB Read,gatt_find_info_rsp:4629,TRUE,TRUE,TRUE,21.077836,7679,319,4.154187,$8.24,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,Incomplete CVE recreation,Not exposed because the vulnerability condition is prevented by caller.
CVE-2023-6881,zephyr,autoup-s2,exp-0413,is_mount_point,subsys/fs/fuse_fs_access_bottom.c,OOB Write,is_mount_point:195,TRUE,TRUE,TRUE,333.085069,59,59,100,$2.08,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,Precondition added to another erro and exposed
CVE-2023-6749,zephyr,autoup-s2,exp-0413,cmd_write,subsys/settings/src/settings_shell.c,OOB Write,cmd_write:189,TRUE,TRUE,TRUE,81.755618,182,175,96.153846,$2.48,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,,
CVE-2023-5184,zephyr,autoup-s2,exp-0413,imx_mu_ipm_send,drivers/ipm/ipm_imx.c,OOB Write,imx_mu_ipm_send:184,TRUE,TRUE,TRUE,0.989138,86,81,94.186047,$3.84,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,,
CVE-2023-5139,zephyr,autoup-s2,exp-0413,crypto_stm32_cbc_decrypt,drivers/crypto/crypto_stm32.c,OOB Write,copy_words_adjust_endianness:101,TRUE,TRUE,TRUE,0.053215,308,76,24.675325,$0.92,13,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,,
CVE-2023-4424,zephyr,autoup-s2,exp-0413,le_advertising_report,subsys/bluetooth/controller/hci/hci.c,OOB Write,le_advertising_report:6760,TRUE,TRUE,TRUE,0.488393,89,85,95.505618,$4.02,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,,
CVE-2023-4265,zephyr,autoup-s2,exp-0413,usb_dc_ep_write,drivers/usb/device/usb_dc_native_posix.c,OOB Write,usb_dc_ep_write:363,TRUE,TRUE,TRUE,1.58741,228,78,34.210526,$0.90,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,,
CVE-2023-4265,zephyr,autoup-s2,exp-0413,handle_encapsulated_rsp,subsys/usb/device/class/netusb/function_rndis.c,OOB Write,handle_encapsulated_rsp:843,TRUE,TRUE,FALSE,,,,,$0.65,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,BMC Tool Limitation,Additional file at level 2 caused a crash
